,id
0,903406132902940677
1,903317649773486080
2,903299369830682629
3,903296633848377345
4,903283446344282114
5,903258740136300545
6,903252793099776000
7,903230956122894337
8,903156241148637184
9,903142851839741952
10,903101581410873346
11,903069143859003392
12,903043410680057857
13,903024671561457664
14,903018002165231616
15,903002612420689920
16,902991829846687744
17,902989263310082049
18,902987774734815236
19,902986744311701506
20,902982321799868418
21,902981992366661633
22,902981933864386560
23,902976832542265344
24,902967237274947584
25,902962607597936640
26,902958614788190208
27,902958383476736002
28,902951998378651649
29,902944737287647235
30,902943985374769152
31,902943874741501952
32,902943118781272065
33,902940073708093440
34,902938540371300352
35,902935331716071424
36,902931931460980738
37,902929993654730753
38,902927947706728448
39,902925897409458176
40,902924355528790017
41,902924263384109056
42,902919744617107456
43,902919430560247809
44,902919276859981824
45,902916261994225665
46,902916030732705793
47,902915701639442432
48,902915665975234561
49,902915503257210880
50,902900530145579009
51,902899013778845697
52,902897812270190592
53,902897489648504832
54,902897324220964867
55,902896200373989376
56,902893259785207808
57,902884124829945857
58,902829862012022784
59,902829425464668160
60,902801801207939072
61,902797134822424576
62,902791025852338177
63,902735133488406532
64,902712008897900545
65,902711257576357889
66,902646350227091460
67,902638854250741761
68,902637874016690181
69,902633515430408193
70,902632597024595971
71,902632111345164294
72,902619077038018562
73,902611334566727680
74,902604194368114688
75,902604142836948993
76,902604095449513984
77,902603951358410753
78,902603872077787139
79,902602804744867841
80,902602393606660096
81,902602085987954690
82,902592803422826497
83,902584256735608833
84,902583670065782786
85,902574844729999361
86,902574727801126912
87,902569002513440768
88,902561810485739521
89,902551931771650048
90,902538394022137856
91,902527900901093378
92,902521546220163072
93,902509491253428224
94,902474968931422208
95,902442990890831872
96,902322263185174528
97,902300078131396608
98,902291605679460353
99,902288508412420096
100,902283792999636992
101,902279246923620355
102,902273487716442112
103,902273178063572992
104,902223134018940933
105,902221860196241409
106,902219154723405827
107,902218060144287744
108,902217668530278400
109,902217640298602497
110,902217499336462336
111,902208784126193664
112,902157614410321920
113,902155298013630464
114,902142217376022532
115,902113010159890433
116,902112695159271424
117,902064277703593984
118,902031283626295296
119,902006414083624960
120,901984056237318144
121,901967480624603137
122,901962570441076741
123,901959456010981377
124,901957258900381700
125,901949735279452160
126,901948585977274376
127,901948502611251205
128,901948187568689152
129,901947909272473600
130,901935535073239041
131,901935062870052866
132,901931816034213888
133,901931749269270528
134,901916212413779969
135,901913957358866433
136,901895690044964864
137,901858049400467458
138,901857234686226433
139,901837849087107072
140,901786431345086464
141,901729857327030272
142,901726477623975936
143,901726417586618368
144,901696268107366400
145,901645624306671617
146,901612522767126528
147,901575935924850693
148,901571475358011392
149,901563004822671361
150,901561519267127296
151,901552297041383424
152,901550612743147520
153,901550364763144192
154,901546054570713089
155,901536862069821441
156,901534285286342656
157,901521211330637824
158,901512093094031360
159,901511528796622848
160,901504981773295616
161,901493397558403073
162,901479499019190272
163,901462792695422976
164,901456592545222657
165,901455734239625216
166,901425952458256387
167,901424764627058688
168,901424675229761536
169,901409959044427777
170,901406380204142592
171,901394294384332800
172,901381270869090304
173,901378598845562880
174,901378332759126016
175,901372473056296960
176,901369203776737280
177,901366663899222016
178,901353496276086784
179,901351716225826816
180,901351002972053504
181,901350516575350784
182,901350378486333440
183,901341062136037376
184,901336488897589249
185,901323197374660609
186,901307401235779584
187,901279502931681280
188,901257759458504704
189,901255668858052609
190,901255411482976256
191,901253940192305152
192,901253908856745984
193,901241735312965633
194,901231922168430592
195,901229513975119872
196,901225372003565568
197,901219508832141314
198,901215327706656768
199,901211834040147968
200,901210298081845251
201,901209268979937280
202,901203274052898819
203,901196747975872512
204,901192929112469504
205,901191792984543242
206,901191571072307200
207,901189089952759808
208,901181307840937984
209,901174364401537024
210,901172490269077506
211,901171211258003457
212,901170365011042304
213,901169938630660097
214,901169381866188806
215,901169120485543936
216,901166289061691393
217,901166267091927041
218,901166108861968384
219,901163197759193089
220,901162077145976832
221,901158678794993665
222,901145277763112960
223,901144583379308544
224,901144134332932096
225,901143986986942464
226,901141936760918016
227,901141692765614080
228,901141346404241412
229,901141002760720384
230,901138982880280576
231,901137690900430848
232,901137012195033091
233,901136465731743744
234,901135788783665152
235,901134810688761856
236,901134664810852353
237,901134166267379712
238,901133913262891008
239,901133841674326016
240,901132723103858689
241,901132335185350657
242,901132307926577152
243,901131672447537152
244,901131468205731840
245,901131066651455488
246,901131060645306368
247,901131040365973505
248,901130995503697921
249,901130992068550656
250,901130934447034368
251,901130873315237889
252,901130864150679554
253,901130829648322562
254,901130778783830017
255,901130699264184326
256,901128977707872258
257,901125453020147713
258,901118655194439681
259,901117638004404224
260,901091307203969024
261,901057112926818304
262,901036704462761985
263,901014473594589185
264,901012742169079808
265,900999414050959360
266,900998686938808320
267,900987005403889664
268,900973792964427778
269,900925936643788800
270,900896475428921348
271,900865519309533184
272,900857204248596481
273,900840843204014080
274,900835315463618560
275,900829948201586689
276,900820235766431744
277,900802277790949377
278,900780302171160576
279,900779934943244288
280,900776772442222593
281,900762256790634496
282,900754996958044162
283,900749117667684353
284,900747411160670209
285,900746318401777664
286,900695349244960768
287,900693778373246976
288,900678022076006401
289,900590490696986624
290,900584687252500480
291,900576152489791489
292,900568652503822337
293,900561019617120257
294,900553052268244992
295,900541293226545152
296,900540019248680960
297,900530573340553217
298,900530544148131840
299,900530245039788037
300,900527141007360004
301,900517644658503680
302,900515167779397632
303,900515122438967296
304,900511963935117312
305,900510275782275072
306,900503636559749120
307,900499302627201024
308,900492478536724480
309,900492323825516545
310,900488406995800064
311,900479312574459904
312,900471139536957441
313,900469884068474885
314,900464992901844996
315,900455023859171334
316,900451976181415937
317,900422255825506304
318,900421926442676226
319,900418227691560962
320,900410933360590848
321,900410870991290369
322,900409253516673028
323,900406751333425153
324,900404332578865152
325,900404296168222720
326,900404182125039620
327,900402781160435712
328,900400959293186048
329,900400329623310342
330,900400014945550336
331,900397941688598529
332,900390187787845633
333,900388316561932289
334,900383860088819712
335,900379743635341312
336,900376527950323712
337,900375868484145153
338,900375420121497601
339,900375355722268673
340,900375206614769665
341,900371028957941761
342,900368466351226881
343,900354691988684801
344,900317314901528577
345,900316422873776128
346,900315032919175168
347,900314220109201408
