Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
400	8	5.061098507584225e+17	1085134002.0	0.0	0.0	0.0	0.0			Gonna start watching #wolfofwallstreet... any good? #ohgoditsleo #gottab	0.0322	0.6081	0.3597
401	9	5.060738645654323e+17	22924613.0	1.0	0.0	0.0	0.0			Watching #wolfofwallstreet #lazySunday	0.1022	0.7407	0.1572
402	10	5.060729127810048e+17	2298871525.0	0.0	0.0	0.0	0.0			coolest man ever in this movie, #leonardodicaprio #wolfofwallstreet	0.0031	0.0136	0.9833
403	11	5.059749338059981e+17	172739893.0	0.0	0.0	0.0	0.0			Have kept #WolfOfWallStreet on my phone! For that fucking attitude of Jordan!! #love	0.6308	0.1897	0.1795
404	12	5.059677901890601e+17	385597073.0	1.0	0.0	0.0	0.0			That crazy s.o.b. thought jujitsu was in Israel. Lol #WolfOfWallStreet	0.6192	0.3288	0.052
405	13	5.059522562994012e+17	209516423.0	0.0	0.0	0.0	0.0			"""I have never been a fan of the bush to be honest."" :-P #wolfofwallstreet"	0.7113	0.2667	0.022
406	14	5.059459102079795e+17	786290209.0	4.0	0.0	0.0	0.0			It's been a good relaxing movie night! #wolfofwallstreet #badgrandpa	0.0036	0.0233	0.9731
407	15	5.059273117920133e+17	113155863.0	0.0	0.0	0.0	7.0	4.927302091419361e+17	retweeted	RT @wolfofwallst: Jordan Belfort live Tawain #WolfofWallstreet #WorldTour #JodanBelfort http://t.co/jzlM5HnARK	0.0061	0.9461	0.0479
408	16	5.059163370890363e+17	86570439.0	0.0	0.0	0.0	0.0			favorite fucking movie #wolfofwallstreet http://t.co/Ci7q2fW1md	0.0973	0.1199	0.7828
409	17	5.0590286261099725e+17	937298694.0	0.0	0.0	0.0	0.0			Now it's a toss up between gang wars or some kinda soft-porn. Neither are doing it for me right now. I wanna read the #WolfOfWallStreet.	0.8589	0.1252	0.0159
410	18	5.0590187770874266e+17	396004646.0	2.0	0.0	0.0	0.0			You can't look them in the eyes! It's a fact, I saw it on PBS #wolfofwallstreet	0.1222	0.6351	0.2427
411	19	5.058564520664392e+17	109919139.0	0.0	0.0	0.0	0.0			@LeoDiCaprio I saw you @Budweiser #MadeInAmerica #musicfest love the face #wolfofwallstreet http://t.co/0ys2ZwLRAG	0.0023	0.0379	0.9598
412	20	5.058456481772667e+17	414329457.0	0.0	0.0	0.0	0.0			A bit of bromance on a Saturday night beats alcohol any day #Indian #wolfofwallstreet #bromance http://t.co/UJUsWGFPFj	0.0072	0.1853	0.8075
413	21	5.058381277817979e+17	35881371.0	0.0	0.0	0.0	0.0			@LeoDiCaprio is reminding me of @ElliottcMorgan for some reason right now #wolfofwallstreet	0.1146	0.7531	0.1323
414	22	5.05810740604072e+17	400175094.0	1.0	0.0	0.0	0.0			Spending my night with Leo and Jonah #wolfofwallstreet	0.0051	0.4129	0.5819
415	23	5.0579956425149645e+17	2646947612.0	0.0	0.0	0.0	0.0			Can't believe i haven't watched #wolfofwallstreet until now! Awesome performance #leonardodicaprio	0.0049	0.0184	0.9767
416	24	5.0578464230240666e+17	256830365.0	1.0	0.0	0.0	0.0			"""Former member of the middle class"" #wolfofwallstreet #LDW2014"	0.1025	0.8479	0.0496
417	25	5.057834840159724e+17	19304473.0	0.0	0.0	0.0	0.0			Sweet lipstick, bro! #nyc #subway #ftrain #graffiti #poster #wolfofwallstreet #kidstoday #lipstick #dicaprio http://t.co/HEUfMUuHtr	0.0034	0.0522	0.9444
418	26	5.057513374188831e+17	84236629.0	0.0	0.0	0.0	0.0			Great movie #wolfofwallstreet http://t.co/GvCgse2xYN	0.0023	0.0147	0.983
419	27	5.057254290307277e+17	229907339.0	0.0	0.0	0.0	0.0			Watching #WOLFOFWALLSTREET again for the 3rd time. never get tired of this classic.	0.0027	0.0179	0.9794
420	0	5.1709941937709466e+17	895984104.0	0.0	0.0	2.0	2.0			#GrabHerHand prod @SmackTUF ft @ThaRealSEMI x @CASKET_MGB x @AntDeLaVega #wolfofwallstreet #turnup #rap #rare #art http://t.co/kkg0g9WUiy	0.004	0.8417	0.1543
421	1	5.170859073802363e+17	56350423.0	0.0	0.0	0.0	0.0			"""..what kind of hooker takes credit cards?"", ""a rich one""..

#WolfOfWallStreet"	0.3446	0.6037	0.0517
422	2	5.170853531620639e+17	801196471.0	0.0	0.0	0.0	0.0			Interview with 'The Wolf of Wall Street' #JordanBelfort http://t.co/PEIuRAdQrM via @alexbonvivant #wolfofwallstreet	0.005	0.9498	0.0452
423	3	5.17083314650624e+17	473884447.0	0.0	0.0	0.0	0.0			truly good writing and acting when you start to feel sorry for the villain and make excuses for all the shit they did #wolfofwallstreet	0.3629	0.3138	0.3233
424	4	5.170821657506652e+17	567270829.0	0.0	0.0	0.0	0.0			No caption needed 😩 #Monday #wolfofwallstreet #lemons #flyhome #holidayover http://t.co/UZnzwkrYs4	0.0852	0.4923	0.4225
