index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
4335	1211	1211	1211	4.176816841635963e+17	346583389.0	0.0	0.0	0.0	24.0	4.173773713442365e+17	retweeted	RT @BuzzFeedEnt: #WolfOfWallStreet struggled at the box office, but not as badly as Bieber did http://t.co/6b3SaBFgRJ via @adambvary http:/…	0.3403	0.6142	0.0455	2013-12-30
14221	11097	11097	11097	4.083035985822515e+17	19662695.0	0.0	0.0	0.0	0.0			Great interview with Leo and Scorcese - #WolfOfWallStreet can't come soon enough! http://t.co/kSNRqbqvN5	0.0018	0.0109	0.9873	0.0
92839	2678	2678	2678	5.439327959248036e+17	1191407222.0	0.0	0.0	0.0	0.0			#wolfofwallstreet yay it IS on netflix	0.0016	0.0235	0.9749	0.0
45580	684	684	684	4.387029790349353e+17	750360169.0	0.0	0.0	0.0	0.0			surreal interview on cnbc w/dude who says he was inaccurately portrayed in #wolfofwallstreet. really?	0.8105	0.1817	0.0078	2014-02-26
1943	192	192	192	3.953755163974697e+17	350630103.0	0.0	0.0	0.0	0.0			"New 'Wolf of Wall Street' trailer:-- Video
#IMDb can't wait for #wolfofwallstreet!! http://t.co/voJLdgRiTa"	0.0016	0.0319	0.9665	0.0
26226	11600	11600	11595	4.258526008737997e+17	122474873.0	0.0	0.0	1.0	0.0			#wolfofwallstreet vulgar,dirty,nasty,rude,crude.LOVED IT! Fast story that kept my interest for 3 hrs.If not a prude,its a must see! #Oscars	0.0351	0.0528	0.9122	2014-01-22
7855	4731	4731	4731	4.1661849358566605e+17	14793394.0	0.0	0.0	0.0	1.0	4.165620712542085e+17	retweeted	RT @jfals82: The Wolf of Wall Street is a recruiting video for the kind of people who want to work on Wall Street. #wolfofwallstreet	0.0131	0.6942	0.2927	2013-12-27
81840	995	995	995	4.781041439290409e+17	2268037573.0	0.0	0.0	0.0	0.0			Man.. I swear #WolfOfWallStreet was a great ass movie!!! I wanna watch it again!!! 😄😄😄👍👍👍👌👌👌	0.0035	0.0065	0.99	2014-06-15
15112	486	486	486	4.291511884925133e+17	19743061.0	0.0	0.0	0.0	27.0	4.290719349873213e+17	retweeted	RT @latimesphotos: RT @cindyhively Beautiful portrait @LeoDiCaprio by @socalbreeze @GlennWhipp #wolfofwallstreet http://t.co/l7tVmyuOqH htt…	0.0044	0.092	0.9036	2014-01-31
91247	1086	1086	1086	5.476856471387136e+17	1951522554.0	2.0	0.0	0.0	0.0			"An #inspirational speech by #MartinScorsese!
A must - read for every #filmmaker! @scorsesemartin
 http://t.co/yjgBgsjdBS 
#WolfOfWallstreet"	0.0034	0.0318	0.9648	2014-12-24
36086	21460	21460	21452	4.2423517108557005e+17	509235375.0	1.0	0.0	1.0	1.0			busy day in the shop! time to relax in #vip watching #WolfofWallStreet tonight thanks @K3EYX for #prebooking we heart leo!	0.0015	0.0292	0.9693	2014-01-17
65502	9092	9092	9087	4.403598144731996e+17	198248421.0	0.0	0.0	0.0	0.0			#WolfofWallStreet #GangsofNY #TheAviator #Django #ManInTheIronMask ..all great movies	0.0048	0.0588	0.9363	2014-03-03
33599	18973	18973	18968	4.2459471751951565e+17	5404442.0	1.0	0.0	0.0	0.0	4.245945118644183e+17	replied_to	@pmarca Maybe we can choose other metaphors. Like animals #wolfofwallstreet @naval @rabois @Uber	0.057	0.8586	0.0844	2014-01-18
9780	6656	6656	6656	4.1611997237374976e+17	43240062.0	0.0	0.0	0.0	1.0	4.160293523508552e+17	retweeted	RT @AnnZimmerColony: #wolfofwallstreet was horrible! Should have been rated X with all the nudity, sex, drugs and language. AND 3 HOURS. Th…	0.9492	0.0453	0.0055	2013-12-26
55739	10843	10843	10839	4.297423035999396e+17	363768268.0	6.0	0.0	1.0	0.0			Bald below the eyebrows 😂😂😂 #wolfofwallstreet	0.4593	0.4515	0.0891	2014-02-01
74484	4082	4082	4080	4.536594381097042e+17	340052468.0	1.0	0.0	1.0	0.0			About to see what this #WolfOfWallStreet movie is all about	0.022	0.7351	0.2429	0.0
71198	796	796	794	4.597518032159539e+17	518562646.0	0.0	0.0	0.0	0.0			We r gonna booze enough to sedate Manhatten, Long Island, and Queens for an entire month #SpringWeekend #WolfOfWallStreet	0.2358	0.5789	0.1854	0.0
63123	6713	6713	6708	4.421719128739881e+17	206688625.0	0.0	0.0	0.0	0.0			"@McConaughey is on a roll lately! Loving his ""golden"" performances #DallasBuyersClub #TrueDetective #WolfofWallStreet  Keep it coming!"	0.0025	0.0147	0.9828	2014-03-08
8021	4897	4897	4897	4.1655629195667866e+17	89185831.0	0.0	0.0	0.0	2.0	4.165550831498896e+17	retweeted	RT @WatchCTVNews: What makes #WolfOfWallStreet so good? @RichardCrouse shares his review on @CTVCanadaAM http://t.co/3clYAAjeCZ #movies	0.003	0.2229	0.7741	2013-12-27
72514	2112	2112	2110	4.569082379004969e+17	635552037.0	0.0	0.0	0.0	0.0			Watching #wolfofwallstreet #LeonardoDiCaprio is fuckin #crazy	0.444	0.3664	0.1896	2014-04-17
75514	5112	5112	5110	4.522749766753444e+17	721702970.0	3.0	0.0	1.0	1.0			Smoke some fuckin' crack with me, bro!  @yaboi_Tony  #WolfOfWallStreet	0.5117	0.2964	0.192	2014-04-05
56801	391	391	391	4.50432455573377e+17	128796796.0	0.0	0.0	0.0	0.0			Swear I'm loving this #WolfOfWallstreet rn. 😄	0.003	0.0074	0.9896	0.0
60911	4501	4501	4498	4.463683132835881e+17	1056638240.0	1.0	0.0	0.0	0.0			awkward moment when a teacher comes to check your work and your watching Leonardo Dicaprio suck coke from a hookers ass #wolfofwallstreet	0.4012	0.5315	0.0673	2014-03-19
58542	2132	2132	2130	4.491894126779064e+17	392802715.0	1.0	0.0	0.0	0.0	4.491890378744873e+17	replied_to	@LA_henley I'm just sayin gotta have that action, #WolfOfWallStreet	0.1604	0.7098	0.1298	2014-03-27
50955	6059	6059	6059	4.3290204853149696e+17	928291074.0	0.0	0.0	0.0	1.0	4.327250754823946e+17	retweeted	RT @twilson_ypr: Going to get to hear #JordanBelfort speak at the Vemma convention in Vegas at the Mirage this April!! #stoked #wolfofwalls…	0.0016	0.1026	0.8958	2014-02-10
1995	244	244	244	3.948935385187656e+17	1124363503.0	0.0	0.0	1.0	0.0			"""@eileen_sav: November 15 needs to hurry up.. #wolfofwallstreet"" you mean my birthday so you can give me tons of presents? :D"	0.0046	0.0578	0.9376	2013-10-28
72105	1703	1703	1701	4.577177650259763e+17	588220318.0	1.0	0.0	0.0	0.0			If anyone is gonna fuck my cousin it's gonna be me... Outta respect ! Lmao #WolfOfWallStreet	0.5205	0.3099	0.1697	2014-04-20
7646	4522	4522	4522	4.1667502644043366e+17	1276069518.0	0.0	0.0	0.0	0.0			"Great Movie: #wolfofwallstreet 
Go see it now. Exceeded my expectations."	0.0036	0.0133	0.9831	2013-12-27
