,id
0,517099419377094658
1,517085907380236289
2,517085353162063872
3,517083314650624000
4,517082165750665216
5,517065889414668288
6,517053945823649792
7,517026916118052864
8,517019655106723840
9,516999995418234880
10,516996173018959872
11,516992501572710401
12,516978451870658562
13,516952617680125953
14,516933540542705664
15,516824363933630464
16,516812690455400448
17,516812467826339840
18,516801586707062784
19,516797073640144896
20,516783120201166848
21,516768534366814208
22,516757428830892032
23,516753028339085312
24,516747231144067072
25,516715245180817408
26,516710051483242496
27,516707724617588736
28,516701004918583296
29,516686975307620353
30,516680219122745344
31,516670276512518144
32,516669594174369792
33,516657694569402368
34,516651611478032385
35,516635527467266048
36,516631278930898944
37,516590514284797952
38,516589766108643328
39,516587901019488257
40,516578334591832064
41,516571842493300736
42,516568062511046656
43,516563006994386944
44,516538961326403584
45,516513150041346048
46,516480704901697536
47,516448591469379584
48,516429759954554880
49,516417108683390976
50,516411864146640896
51,516399970006892545
52,516383890215550976
53,516383890051964928
54,516382909130100736
55,516355604001337344
56,516349313266765824
57,516337823415562244
58,516332389552103424
59,516322180007997440
60,516320625913503744
61,516318525192167424
62,516315201676005376
63,516309687219007488
64,516304919025160192
65,516304785671475200
66,516298785795104768
67,516271102255849472
68,516251719219806208
69,516245346742435840
70,516245280497602560
71,516244767642906624
72,516230154600067072
73,516119464966766592
74,516118041113804801
75,516087992008462336
76,516064499066232832
77,516038741463666689
78,516032582400876544
79,516020855181438976
80,515998924566712320
81,515998105997955072
82,515995351153917953
83,515990185545576448
84,515984612439650305
85,515977495368454144
86,515966199608651776
87,515953192665108481
88,515950499485724672
89,515941499532763136
90,515938156924141568
91,515926422553387008
92,515902931670151168
93,515898117510938626
94,515893779887579136
95,515890229694443520
96,515883689843372033
97,515877127938666496
98,515870585478742016
99,515838647451803649
100,515741778037997568
101,515738478630281216
102,515734414228471808
103,515734265795866624
104,515732980997062657
105,515732337242689536
106,515709283829567488
107,515696472189595648
108,515688304394915842
109,515681822349725696
110,515667818356801537
111,515636870454444033
112,515625347048407040
113,515621981354725376
114,515599274718298114
115,515587662523027457
116,515579053869641728
117,515571671877439489
118,515560624278220800
119,515559281752420352
120,515543765210370048
121,515491920408109056
122,515484490312204288
123,515452500095565824
124,515446191308701696
125,515437335295844352
126,515374117143711744
127,515359023231938560
128,515345170460459008
129,515344705484505088
130,515307409498456064
131,515290849820037120
132,515277738656014336
133,515267824127074305
134,515241547991097345
135,515233107004633088
136,515222355942318080
137,515198081638604800
138,515195443341701120
139,515178145918353408
140,515169269966188544
141,515165405212446720
142,515154013831311360
143,515151073326419969
144,515147200004120576
145,515127723355033600
146,515127301429022722
147,515127100114608128
148,515125940826144769
149,515117569305767936
150,515105675266260992
151,515050807717527552
152,515033094509068288
153,515021284565323776
154,515006120365424640
155,514974349351473152
156,514973057316704257
157,514964139526356992
158,514951859908640768
159,514949232042971136
160,514939164274348032
161,514932547491729409
162,514918305040445440
163,514881755363282944
164,514863773329686528
165,514847518145118208
166,514822139795755009
167,514791688221757440
168,514755398340210688
169,514732183018541056
170,514722090000609280
171,514679632122376192
172,514676912778928130
173,514625778836078592
174,514620557397352448
175,514616670305124352
176,514607779425058816
177,514607421789331456
178,514606541945585664
179,514604764399931392
180,514604181878214657
181,514596097025933312
182,514590138794803200
183,514589649470513152
184,514588539686629376
185,514576879110852608
186,514567662756581376
187,514566424245719040
