,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
925,925,925,1436836235977256967,117864969,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
926,926,926,1436835094027808775,1243516118620405760,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
927,927,927,1436834440643325953,22515874,15,1,0,3,,,"Disney's live action movie for #TheLittleMermaid is set to premiere on May 26, 2023. https://t.co/nxwR4OBxr6"
928,928,928,1436834032772435972,2550365750,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
929,929,929,1436833369980129283,356297840,0,0,0,14,1.4364386161007698e+18,retweeted,"RT @TheWrap: Disney’s live-action #TheLittleMermaid, starring @HalleBailey, will hit theaters on May 26, 2023 https://t.co/VB1fwB7BCi"
930,930,930,1436833075678298116,996404864581357570,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
931,931,931,1436832788381151236,871079979446087680,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
932,932,932,1436830157583659012,1064745866706264069,0,0,0,0,,,"Okay, I'm not saying Black Twitter should boycott #TheLittleMermaid simply because Awkwafina might do her sassy mammy routine in it, but understand how racist are going to boycott this movie because there's a black mermaid and feminist can't stand equality without a Karen. https://t.co/KcILxWebRy"
933,933,933,1436830103749611521,1262102774486978562,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
934,934,934,1436828095751901185,820517106315907072,0,0,0,1,1.4365435284278764e+18,retweeted,RT @gazdutlow: I just know this movie is gonna be good. Disney moving it to the 100 YEAR ANNIVERSARY of the Walt Disney Company?? @HalleBai…
935,935,935,1436827541101285380,324644177,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
936,936,936,1436827088846262274,1268215922856247296,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
937,937,937,1436826071643693061,1169834808874192897,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
938,938,938,1436823679317516303,2981618948,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
939,939,939,1436823174541422592,2943232340,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
940,940,940,1436822406019141632,2517517940,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
941,941,941,1436821745898565634,796429335553048581,1,0,0,0,,,The live-action #TheLittleMermaid is the first #DisneyRenaissance remake where BOTH of the leads are younger than the original film - and by a pretty considerable margin too!
942,942,942,1436820561599029252,297002634,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
943,943,943,1436820397140422664,53098148,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
944,944,944,1436819999717576709,1393331109451247616,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
