,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,1245133084753899520,1241847565961871369,4,0,0,0,,,"A redraw I recently did!  
The first drawing was for a friend back in 2017 and I saw it the other day when he posted it and was a tad horrified at the proportions 😂😂 thanks for looking! 

#thelittlemermaid #disney #artistsontwitter https://t.co/8qebFFu6mq"
1,1,1,1245123860212654082,4715862924,0,0,0,1,1.245122852321452e+18,retweeted,RT @TheDisneyStudi0: Miniature of prince Eric’s castle from #thelittlemermaid at  #lepaysdescontesdefées . #disneylandparis #disney #dlp #f…
2,2,2,1245122852321452032,1100737961136656384,2,0,0,1,,,Miniature of prince Eric’s castle from #thelittlemermaid at  #lepaysdescontesdefées . #disneylandparis #disney #dlp #fantasyland #storybooklandcanalboats #caseyjrcircustrain #miniature #princeericscastle #ocean… https://t.co/azBAceQIgk
3,3,3,1245122387059912713,1209465602613612544,0,0,0,3,1.2451179719131955e+18,retweeted,"RT @WhackInk: #Ursula from #TheLittleMermaid #pinup #doodle
#disney #fanart  :) https://t.co/82fE1QXlry"
4,4,4,1245118935252361216,9207102,0,0,0,3,1.2451179719131955e+18,retweeted,"RT @WhackInk: #Ursula from #TheLittleMermaid #pinup #doodle
#disney #fanart  :) https://t.co/82fE1QXlry"
5,5,5,1245117971913195520,3815662114,11,0,1,3,,,"#Ursula from #TheLittleMermaid #pinup #doodle
#disney #fanart  :) https://t.co/82fE1QXlry"
6,6,6,1245116672639369218,1158521032174723072,0,0,0,25386,1.1465643454106214e+18,retweeted,"RT @halleberry: In case you needed a reminder... Halles get it DONE. Congratulations @chloexhalle on this amazing opportunity, we can’t wai…"
7,7,7,1245116572685021184,21445154,3,0,1,0,,,"Today:

- breakfast
- shower
- FaceTime with my cousins 
- lunch 
- nap time 
- watched #TheLittleMermaid on #DisneyPlus ❤️
- watched #Outlander 💔
- drawing 
- dinner 
- watched #HarryPotter
- in bed 
- reading on fanfiction"
8,8,8,1245102535305805825,455096559,4,0,0,0,,,I'm introducing a new idea to the channel. Inspired by #DragRace I thought it would be fun to Read old Movies to FILTH. From plot holes to creative choices that haven't aged well - It's all in good humour. First up is the beloved #thelittlemermaid -https://t.co/itejq82ImJ Enjoy x https://t.co/Wz3xZS4VKo
9,9,9,1245095770723934209,404127685,0,0,0,169,1.2239882166230712e+18,retweeted,"RT @davidalojaya: Painting this cute scene from The Little Mermaid when Ariel trying to force Ursula to sign the contract
#disney #TheLittl…"
10,10,10,1245095444377743361,2823580585,0,0,0,689,1.223621080511738e+18,retweeted,"RT @davidalojaya: Ok so imagine this situation where you are a peasant mermaid. Which one do you side, the King or the Prince? 👀
#TheLittle…"
11,11,11,1245087009762205696,766764105491329024,0,0,0,0,,,"Our theme for April is Disney’s The Little Mermaid 🧜‍♀️ 
#disney #disneySubscription #theLittleMermaid https://t.co/kojkhjZQaL"
12,12,12,1245062563362193408,415056495,0,0,0,1,1.2450604883267748e+18,retweeted,"RT @Lottieeee: Songs to wash your hands to: Part 13. 

I laughed every time 😂🙈

#washyourhands #washyourhandschallenge #covid19 #covid_19 #…"
13,13,13,1245060488326774791,142245334,22,0,3,1,,,"Songs to wash your hands to: Part 13. 

I laughed every time 😂🙈

#washyourhands #washyourhandschallenge #covid19 #covid_19 #coronavirus #underthesea #thelittlemermaid #disney #disneyplus #Disneyuk #songstowashyourhandsto https://t.co/k0k9bQ7qUd"
14,14,14,1245054116608364545,959909046680633344,1,0,0,1,,,"#Kohls Extra Savings W/ #PromoCode Sale Juniors' #Disney #TheLittleMermaid ""Kiss The Girl"" Racerback Tank Top &gt; https://t.co/tyUil0t5sr #Disneyland #WaltDisneyWorld Fans ❤️ https://t.co/0Dt1YPtcS6"
15,15,15,1245045813346283522,53892289,1,0,0,0,,,It's comforting to transport yourself back to #films you remember from #childhood..🥰 Today's watch on @DisneyPlusUK: #TheLittleMermaid I used to replay my #VHS of this &amp; can still remember words of EVERY scene! + One of the BEST #Disney #singalong soundtracks of all time. https://t.co/ybC1THgp5U
16,16,16,1245043625123348480,787733681490292737,2,0,0,0,,,"“Out of the sea, wish I could be,
 Part of that world”

Msg me if you want a sticker🧜‍♀️

#thelittlemermaid #ariel #flounder #atlantica #art #colorful #ocean #disney #trippy #fish #sebastian #kingtriton #markers #ink #disneyart https://t.co/mjIpZiY5KY"
17,17,17,1245035251958722563,63563842,0,0,1,0,1.2450352486997402e+18,replied_to,I loved the film as a kid and this is one of my favourite Disney songs so I’m very happy to share my cover of ‘Part Of That World’ from #TheLittleMermaid 🧜🏼‍♀️🧜🏼‍♀️ #LolasMarvellousMusicals
18,18,18,1245024954170703874,1221211920293941248,1,0,1,0,,,Current mood! #disney #TheLittleMermaid #DisneyPlusUK https://t.co/adysQIYHbI
19,19,19,1245020964754198529,1025055006960041986,0,0,0,0,,,He seems to be growing his hair! #TheLittleMermaid #remake @Disney https://t.co/J9krkOLFjF
20,20,20,1245016012589858817,104126223,0,0,0,689,1.223621080511738e+18,retweeted,"RT @davidalojaya: Ok so imagine this situation where you are a peasant mermaid. Which one do you side, the King or the Prince? 👀
#TheLittle…"
21,21,21,1245007572983316480,1225830342411669505,0,0,0,0,,,"I must be a mermaid, Rango. I have no fear of depths and a great fear of shallow living. 🖤
.
Model hexy_m0r93n5t3rn_ 🧜🏻‍♀️
.
.
.
#belarus #mermaiding #beach #thelittlemermaid #amigurumi #mermaidlife #etsyshop #love… https://t.co/pvfucgQ6iz"
22,22,22,1245001037062209537,207219107,1,0,1,0,1.245000953981436e+18,replied_to,Part of Your World from #TheLittleMermaid
23,23,23,1244999812090650625,1623939000,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…"
24,24,24,1244989416013271048,939164490486173696,0,0,0,31,1.240337385575125e+18,retweeted,"RT @hairfetti: 🧜‍♀️Thanks so much for the recent orders- It's splendid having things to create! 

I'm working to get orders out as quickly…"
25,25,25,1244984679004098561,909554634670387200,0,0,0,2,1.1484807350257992e+18,retweeted,"RT @soft_daydreams: Isn't it neat?🐠
#TheLittleMermaid #TheLittleMermaidLiveAction #ArtistOnTwitter https://t.co/7VF3qnAfMR"
26,26,26,1244971891988856833,4316439257,0,0,0,5,1.244942371135148e+18,retweeted,"RT @TeamPopFr: Figurine Funko Pop Disney The Little Mermaid - Ariel 27

#thelittlemermaid #ariel #disney #disneyprincess #mermaid #littleme…"
27,27,27,1244964052926857216,2216602848,1,0,0,0,,,"Honestly not my best work, I had a 5 year old and a 8 year old over my shoulder the entire time but i tried ❤️🧜🏻‍♀️. 

#DisneyMakesMeHappy 
#Ariel
#TheLittleMermaid https://t.co/Z1FWnPphvO"
28,28,28,1244951039821766656,1105611098948984832,0,0,0,2,1.1960486864568525e+18,retweeted,"RT @31d_04: Happy Screen Debut 🐠💙

#TheLittleMermaid  
#アリエル誕生祭
#リトルマーメイド30
#リトルマーメイドスクリーンデビュー https://t.co/IMq1Q2njSU"
