,id
0,1366171734169247746
1,1366158701846011905
2,1366154981787791367
3,1366147277723750404
4,1366124321807233024
5,1366115789842100225
6,1366105352333389824
7,1366080816959401989
8,1366062841543806977
9,1366061037129195530
10,1366058825539796993
11,1366057641521258502
12,1366055462274273290
13,1366051805939920898
14,1366051092447047680
15,1366049547986690048
16,1366031582910316548
17,1366025846453059588
18,1366024297576292361
19,1366023387819212807
20,1366018827608186881
21,1366016690530656256
22,1366014491390058505
23,1366013343312588801
24,1366011742627717123
25,1366008047018082310
26,1365984013165285377
27,1365983786169626635
28,1365973918641774593
29,1365965545296650243
30,1365959243438907394
31,1365949486728634369
32,1365942082884562945
33,1365935959662092291
34,1365924398683750401
35,1365922802713427968
36,1365921363525922818
37,1365920118660857861
38,1365917605161299969
39,1365916480420917251
40,1365911412464304132
41,1365909884273852417
42,1365907500172791808
43,1365907022055542787
44,1365906190627049479
45,1365901388530782210
46,1365899487441350659
47,1365898660039434248
48,1365891567714590722
49,1365889341466185728
50,1365888371030024192
51,1365887938354163713
52,1365887783080976388
53,1365886765148606466
54,1365885964111945733
55,1365884344670150667
56,1365883769954185217
57,1365883038471778305
58,1365883001159049219
59,1365881186778820608
60,1365880620350660609
61,1365880455241867267
62,1365880204154068992
63,1365878914430754822
64,1365878641150730241
65,1365877218082226178
66,1365877109235802113
67,1365877097865035781
68,1365877070526636039
69,1365876911839141891
70,1365876783560548354
71,1365876679843975170
72,1365876637460541441
73,1365876480572547073
74,1365875655477444614
75,1365873512850817027
76,1365873183572840448
77,1365870702340014080
78,1365868931865575427
79,1365855585250336775
80,1365853499423035392
81,1365850420405358597
82,1365849809773559809
83,1365847911704137730
84,1365846484734803968
85,1365842278137397248
86,1365841024610930690
87,1365840516571627520
88,1365838307205251075
89,1365837337968713731
90,1365831782256447488
91,1365831752862863362
92,1365828891261210626
93,1365826315421679625
94,1365825839724568579
95,1365823753188306945
96,1365822688137269248
97,1365822479197999106
98,1365821854615707648
99,1365819182781145088
100,1365817850708000768
101,1365807879714971648
102,1365802936266338304
103,1365802705688481792
104,1365802516785545224
105,1365799561957171203
106,1365798871088177156
107,1365789053669564420
108,1365765096476200965
109,1365754790744121344
110,1365754777855008768
111,1365739765031649284
112,1365734728146518023
113,1365723837548101633
114,1365722620797218816
115,1365714136756146176
116,1365713543459266565
117,1365711220741873665
118,1365711124805558277
119,1365711087090343937
120,1365711020551901188
121,1365711012041687044
122,1365710997453819904
123,1365710982161461250
124,1365710973089181697
125,1365710897725939718
126,1365707277232185344
127,1365703515096637446
128,1365699810062458887
129,1365691565193191425
130,1365689661436407809
131,1365680881466277892
132,1365679229569028098
133,1365677936460910601
134,1365677934967726080
135,1365677817963286530
136,1365677771565854722
137,1365677646978375683
138,1365670523934568450
139,1365656826520342529
140,1365642101141229570
141,1365590896276832256
142,1365547820225339393
143,1365545282423951361
144,1365545268054282241
145,1365537154458406917
146,1365530748799737856
147,1365530229872209922
148,1365517291102887936
149,1365511228492234755
150,1365477065667960832
151,1365470141304209411
152,1365463587318333441
153,1365462436237643779
154,1365450547516502018
155,1365447448152408067
156,1365446542094716936
157,1365438775845920775
158,1365411101261717504
159,1365404024481198086
160,1365402955499855875
161,1365402553534586883
162,1365401487476670464
163,1365401018410950660
164,1365400310341058561
165,1365400220008333319
166,1365397572777508865
167,1365384419402424321
168,1365384246211186688
169,1365384156339867649
170,1365376924302798849
171,1365371283299524608
172,1365366297941401605
173,1365359416732647424
174,1365295868597985280
175,1365294733971628032
176,1365285785189163009
177,1365204925576265729
178,1365194482912747522
179,1365194227492286465
180,1365189013947179009
181,1365166263639638021
182,1365164195864526850
183,1365162583901298690
184,1365154509329076224
185,1365152700703252489
186,1365149630409940992
187,1365149433688711172
188,1365142056482582529
189,1365140824426741761
190,1365135627289788417
191,1365133490556186625
192,1365129715384782858
193,1365113823934312449
194,1365111157082660864
195,1365110954585899015
196,1365086821592403969
197,1365076567144103936
198,1365076455751827464
199,1365061747653107712
200,1365059445928124420
201,1365057840654688256
202,1365057717908475910
203,1365056895887704064
204,1365055630445281286
205,1365044602382655489
206,1365036845525008391
207,1365031978135810048
208,1365031825551355904
209,1365027572724170754
210,1365022513516969985
211,1365022281781547008
212,1365021726569021447
213,1365018875553869831
214,1365015613253570567
215,1365015532991299585
216,1365011828418478082
217,1365008628776919040
218,1365007429910544385
219,1365006061380403202
220,1365005547339091973
221,1365004135125442570
222,1365003166866165760
223,1365000194769608706
224,1364997690333958149
225,1364996789720391685
226,1364996189200945152
227,1364994695701684229
228,1364994574263980034
229,1364994425814925319
230,1364993927900635141
231,1364993066860380163
232,1364992928779657217
233,1364992450964697097
234,1364992309188771841
235,1364992274971590658
236,1364991531480981517
237,1364987003771654147
238,1364985750404571136
239,1364979518092554243
240,1364978076422127622
241,1364977761568268288
242,1364975948148264969
243,1364974392829214721
244,1364973786731282433
245,1364973764384075779
246,1364972540108619780
247,1364972052982231040
248,1364971975505039363
249,1364971888557117449
250,1364971824996622343
251,1364966981112369152
252,1364965106141044740
253,1364953398194405384
254,1364950965338705930
255,1364947769820069888
256,1364947765009211394
257,1364944343522508805
258,1364891213803835396
259,1364884283278712836
260,1364850721024339973
261,1364823176988008452
262,1364822108509986819
263,1364819948955176962
264,1364818744762126340
265,1364817712409632769
266,1364813874109640705
267,1364794305039060998
268,1364764147200774147
269,1364750600567726080
270,1364744000004116481
271,1364735746293305346
272,1364671271112347651
