index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
48673	43021	43021	43021	1148536699515015170	1004991620461334528	2	0	0	0			"Welcome to 2019, where we exploit diversity for profit! https://t.co/OOgi5fRzKf via @9GAG

#blackrepresentation #thelittlemermaid #originalstory #originalcharacter #hollywood #rehashing #thankyou"	0.0099	0.1431	0.847	2019-07-09
22352	16700	16700	16700	1152019287894138881	2408331296	0	0	0	6369	1.151853243787432e+18	retweeted	"RT @Curryuku: Everything I touch becomes gay
#TheLittleMermaid https://t.co/AdIWmcR84J"	0.4318	0.5395	0.0287	2019-07-19
294665	11961	11961	11961	1574832541030576128	1332244383421239296	0	0	0	14929	1.5745214646649528e+18	retweeted	RT @TanyaLehoux: Ariel sketches 🧜‍♀️ #TheLittleMermaid https://t.co/0sbTRBbgLX	0.0096	0.9388	0.0516	2022-09-27
353936	71232	71232	71232	1571366818627092480	1180215224776806400	0	0	0	7608	1.5712852192983818e+18	retweeted	"RT @_ladyshalirin: Maybe green instead of pink?
Some Princess and The Frog vibes :)
#TheLittleMermaid #Disney https://t.co/C1GCgErH2q"	0.0103	0.5798	0.4099	2022-09-18
354998	72294	72294	72294	1571341990364696581	1144313276047773698	0	0	0	7689	1.570933037956993e+18	retweeted	"RT @_ladyshalirin: Gorgeous in any outfit 
#Disney #TheLittleMermaid https://t.co/TEQiqFUuZj"	0.0036	0.0467	0.9496	2022-09-18
29100	23448	23448	23448	1151391620513914880	761322228709548032	0	0	0	6289	1.1512125955479716e+18	retweeted	RT @THR: Harry Styles (@Harry_Styles) in talks to play Prince Eric in #Disney's live-action #TheLittleMermaid https://t.co/nYX249TnXE https…	0.0031	0.8557	0.1412	2019-07-17
240433	4431	4431	4431	1402468459464769539	968932194751311872	0	0	0	127	1.4024062149531443e+18	retweeted	RT @AimaDuragon: Too late for mermay but never too late for a screencap redraw! #klance #TheLittleMermaid https://t.co/7LP84hHXEH	0.0277	0.7588	0.2135	2021-06-09
261639	940	940	940	1491527222867513344	467918410	1	0	0	0			"A GREAT BIG THANK YOU to this creative and talented staff that are making the theatre magic happen this winter and spring at Wolf PAC!  
#performances #theatreclasses #voicelessons #actinglessons #danceclass #theatre #thelittlemermaid #spongebob #somethingrotten #teachers https://t.co/nvk7bbKvCP"	0.0022	0.0138	0.9841	2022-02-09
34275	28623	28623	28623	1151255916504846343	2223972232	0	0	0	6289	1.1512125955479716e+18	retweeted	RT @THR: Harry Styles (@Harry_Styles) in talks to play Prince Eric in #Disney's live-action #TheLittleMermaid https://t.co/nYX249TnXE https…	0.0031	0.8557	0.1412	2019-07-16
154764	7945	7945	7945	1172900340452286464	924038224414216192	0	0	0	422	1.1724953931389542e+18	retweeted	RT @KINGDOMHEARTS: #DidYouKnow that Ariel from #TheLittleMermaid is in #KingdomHearts III? https://t.co/i7dHiVRDzF	0.0032	0.8829	0.1139	2019-09-14
