,id
0,6.272620896697795e+17
1,6.272545569431224e+17
2,6.272522599575347e+17
3,6.272516904844206e+17
4,6.272390516581622e+17
5,6.272373734752215e+17
6,6.272277993136456e+17
7,6.272274888050893e+17
8,6.272268666346168e+17
9,6.27217772137857e+17
10,6.272176414349271e+17
11,6.27214481521836e+17
12,6.27211280781185e+17
13,6.272099274975314e+17
14,6.27209608373928e+17
15,6.272075127570063e+17
16,6.27206774144299e+17
17,6.272052671182356e+17
18,6.272046568426701e+17
19,6.27203495129686e+17
20,6.271997349738988e+17
21,6.271950838053028e+17
22,6.271936993998234e+17
23,6.271916239700009e+17
24,6.271869311059558e+17
25,6.271857467267564e+17
26,6.271854823682212e+17
27,6.271845319304847e+17
28,6.271804077888307e+17
29,6.271802550742344e+17
30,6.271778262072893e+17
31,6.271754452350198e+17
32,6.271739591721001e+17
33,6.271718735209062e+17
34,6.271680327800668e+17
35,6.271676300220785e+17
36,6.271660074513285e+17
37,6.271654095489638e+17
38,6.27165128228606e+17
39,6.271649467202724e+17
40,6.271625183524946e+17
41,6.271593562331218e+17
42,6.271588779942871e+17
43,6.27157305058984e+17
44,6.271572117063393e+17
45,6.271571341076275e+17
46,6.271571237477212e+17
47,6.271571172213801e+17
48,6.271571032122368e+17
49,6.271567131168195e+17
50,6.271565217516749e+17
51,6.271562553967534e+17
52,6.271561816649605e+17
53,6.271558253379912e+17
54,6.271553770254868e+17
55,6.271551830263726e+17
56,6.271509348759716e+17
57,6.27147953141121e+17
58,6.271475222181806e+17
59,6.271466629520712e+17
60,6.271466001465631e+17
61,6.271460581418598e+17
62,6.271456733270139e+17
63,6.271450012275835e+17
64,6.271447613510779e+17
65,6.271444239864668e+17
66,6.271443779708723e+17
67,6.271441080504812e+17
68,6.271437657240003e+17
69,6.271437572894228e+17
70,6.271433870286807e+17
71,6.271432610360238e+17
72,6.271428132690289e+17
73,6.271428101105377e+17
74,6.271427673833267e+17
75,6.271419625968763e+17
76,6.271416994714788e+17
77,6.271397543882547e+17
78,6.271309424365855e+17
79,6.271258710531564e+17
80,6.271236607473746e+17
81,6.271181955776348e+17
82,6.271180570900767e+17
83,6.271164613881119e+17
84,6.271132953051341e+17
85,6.271032249029059e+17
86,6.271029463925678e+17
87,6.271006620195635e+17
88,6.271003062125404e+17
89,6.270838238645084e+17
90,6.270825772376678e+17
91,6.270755621929615e+17
92,6.270640482244772e+17
93,6.270567620975247e+17
94,6.270469877377352e+17
95,6.270458983931003e+17
96,6.270414638729748e+17
97,6.27039035358208e+17
98,6.270242591566807e+17
99,6.270214683632927e+17
100,6.270212766123131e+17
101,6.270211779495854e+17
102,6.270198212893368e+17
103,6.270172588759286e+17
104,6.270169913127567e+17
105,6.270148938295501e+17
106,6.270090304062874e+17
107,6.270088614053601e+17
108,6.270062913915576e+17
109,6.270027439961989e+17
110,6.269995571219456e+17
111,6.269937998357463e+17
112,6.269936116079452e+17
113,6.269895433973105e+17
114,6.269892731961958e+17
115,6.269840260923433e+17
116,6.269831123256361e+17
117,6.269830713849119e+17
118,6.269823745935647e+17
119,6.269816610501673e+17
120,6.269809830494536e+17
121,6.26977865276375e+17
122,6.269778059648492e+17
123,6.269775417906545e+17
124,6.269772150124544e+17
125,6.269771609688228e+17
126,6.269770169910764e+17
127,6.269769822706401e+17
128,6.269768315104502e+17
129,6.269766076730204e+17
130,6.269764144206316e+17
131,6.269761220272906e+17
132,6.269758210564424e+17
133,6.269754916525834e+17
134,6.269753327850004e+17
135,6.269751470990582e+17
136,6.269751289921577e+17
137,6.269749708250604e+17
138,6.269749162445783e+17
139,6.269749085480387e+17
140,6.269748396566118e+17
141,6.269747604219699e+17
142,6.26974743011287e+17
143,6.269746308765901e+17
144,6.2696307785916e+17
145,6.269597801169592e+17
146,6.269596309633802e+17
147,6.269559987004006e+17
148,6.269540166358835e+17
149,6.26951806480855e+17
150,6.269494903190323e+17
151,6.269279674495754e+17
152,6.269238434461614e+17
153,6.269185184920003e+17
154,6.269118783846482e+17
155,6.269114165916303e+17
156,6.26907191211987e+17
157,6.269017460658668e+17
158,6.269015422564434e+17
159,6.268995527049216e+17
160,6.268974933563474e+17
161,6.268962786229699e+17
162,6.268958836705649e+17
163,6.268938040170947e+17
164,6.268934865879327e+17
165,6.268932966112584e+17
166,6.268924516895539e+17
167,6.268909204792975e+17
168,6.268835940075192e+17
169,6.26883383965016e+17
170,6.268831784106803e+17
171,6.268761035550228e+17
172,6.268627289473475e+17
173,6.268625544391557e+17
174,6.268614751524618e+17
175,6.268598256501146e+17
176,6.268544729045238e+17
177,6.268535922432696e+17
178,6.268502166800302e+17
179,6.268481172840407e+17
180,6.268420616148869e+17
181,6.268409243629281e+17
182,6.26838334468309e+17
183,6.268364559487468e+17
184,6.26833328012927e+17
185,6.268329614600151e+17
186,6.268319833987768e+17
187,6.268314397792502e+17
188,6.268293594170204e+17
189,6.268258621098885e+17
190,6.26824694935765e+17
191,6.268241867034255e+17
192,6.268241804749046e+17
193,6.268241775598428e+17
194,6.268238863492833e+17
195,6.268228532336517e+17
196,6.268222686607565e+17
197,6.26821786705879e+17
198,6.268216864202424e+17
199,6.268188234343014e+17
200,6.268187687281459e+17
201,6.26817555215315e+17
202,6.268173265880351e+17
203,6.268168410887987e+17
204,6.268156247910031e+17
205,6.268153887774843e+17
206,6.268149981997343e+17
207,6.268146969480397e+17
208,6.268141462066381e+17
209,6.268139017207153e+17
210,6.268137580070216e+17
211,6.268132346502021e+17
212,6.268121721153905e+17
213,6.268115385742131e+17
214,6.26811139565826e+17
215,6.26807658973016e+17
216,6.268070426787471e+17
217,6.268067609599672e+17
218,6.268058530524938e+17
219,6.268056433542185e+17
220,6.268055140017807e+17
221,6.268046922411581e+17
222,6.268044179002122e+17
223,6.268042979724575e+17
224,6.26804146646061e+17
225,6.267994728242053e+17
226,6.267992491837358e+17
227,6.267969525632246e+17
228,6.267967609674138e+17
229,6.26796444616405e+17
230,6.267959320640512e+17
231,6.267949631504671e+17
232,6.267949326411325e+17
233,6.26794484932608e+17
234,6.267944574892155e+17
235,6.267943260524585e+17
236,6.26794236701225e+17
237,6.267932767843983e+17
238,6.267930552286863e+17
239,6.26792967408382e+17
240,6.267929672699535e+17
241,6.267924786167562e+17
242,6.267924214483968e+17
243,6.26791730424193e+17
244,6.267917302732104e+17
245,6.267917057491231e+17
246,6.267917026871501e+17
247,6.267916822609101e+17
248,6.267916426457948e+17
249,6.26791635930751e+17
250,6.267914556763668e+17
251,6.26791367725822e+17
252,6.267913397122499e+17
253,6.267911238648095e+17
254,6.267898252077384e+17
255,6.26789346205569e+17
256,6.26789182434902e+17
257,6.267891489977631e+17
258,6.267889749089976e+17
259,6.267888815774515e+17
260,6.267888715655414e+17
261,6.267887468353085e+17
262,6.267886727556301e+17
263,6.267881484340756e+17
264,6.267880910433157e+17
265,6.267879698362655e+17
266,6.267877690299269e+17
267,6.26787665082368e+17
268,6.267873787918746e+17
269,6.267871838364058e+17
270,6.267871543167672e+17
271,6.267867918114529e+17
272,6.267867811076506e+17
273,6.267867650225807e+17
274,6.267867542137119e+17
275,6.267867515335844e+17
276,6.26786640124457e+17
277,6.267865526020997e+17
278,6.267865172691558e+17
279,6.267864975433236e+17
280,6.267864281946808e+17
281,6.267863534858732e+17
282,6.267863531126129e+17
283,6.267862453817303e+17
284,6.267861112144568e+17
285,6.267861017478062e+17
286,6.267860077492961e+17
287,6.267843582722335e+17
288,6.267772748771164e+17
289,6.267680709299896e+17
290,6.26766133589246e+17
291,6.267614488705597e+17
