,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,737794466115903488,735839258125176832,0,0,0,289,5.992722605795164e+17,retweeted,RT @RottenTomatoes: #MadMaxFuryRoad is Certified Fresh at 99% w/ 185 reviews ---&gt; http://t.co/ViQyuLPhLx 🍅 #Tomatometer @MadMaxMovie @wbpic…
1,1,737748623686008832,453952515,0,0,0,0,,,Le dark vador de mad max fury road #MadMaxFuryRoad https://t.co/VOarLP5bZb
2,2,737747405953761280,335341549,2,0,0,0,,,"""You said, “A few vehicles in pursuit. Maybe.” We count three war parties!"" - ""Yeah, well, I got unlucky. Let’s do this!"" #MadMaxFuryRoad"
3,3,737736461739536384,2589895259,0,0,0,3,7.37735761743745e+17,retweeted,RT @dexshirts: Awesome concept art for the 'Doof Wagon' created by Peter Pound https://t.co/Gvmlz4rb9d for #MadMaxFuryRoad (2015) https://t…
4,4,737735761743745024,2525731453,4,0,0,3,,,Awesome concept art for the 'Doof Wagon' created by Peter Pound https://t.co/Gvmlz4rb9d for #MadMaxFuryRoad (2015) https://t.co/DIqv6S1moz
5,5,737712607314878466,3741497620,3,0,0,1,,,Ultimate #MadMaxFuryRoad #cosplay. Want some of this badassness? Grab the game for €11.49: https://t.co/9Zlhd5NbLB  https://t.co/fAlE5GKH3M
6,6,737695608358731777,92647987,0,0,0,1,7.376955095116022e+17,retweeted,"RT @MovieBlogMerc: On a new #SideBySide, Chris compares 1979's #MadMax with 2015's #MadMaxFuryRoad 

https://t.co/LGnczjguyk https://t.co/z…"
7,7,737678007771402241,2980228780,0,0,0,0,,,Lovely Day For Redemption by ... https://t.co/Vj1KeWW84F #ImperatorFuriosa #MadMax #MadMaxFuryRoad ... https://t.co/v25N1sJPhh
8,8,737628984842715136,1066796935,0,0,0,0,7.376247666774221e+17,replied_to,@Reuters looks like a scene out of #MadMaxFuryRoad
9,9,737594693278564353,34292257,0,0,0,2,7.375305275828511e+17,retweeted,"RT @InglouriousCine: ""What a lovely day"" #MadMaxFuryRoad by #TsuyoshiNagano https://t.co/jAhXauCs6b"
10,10,737580303787511808,197157001,0,0,0,0,,,Witness Me.  Praise V8 #MadMaxFuryRoad https://t.co/sw8PQ5SLrj
11,11,737531688381599745,391921858,0,0,0,2,7.375305275828511e+17,retweeted,"RT @InglouriousCine: ""What a lovely day"" #MadMaxFuryRoad by #TsuyoshiNagano https://t.co/jAhXauCs6b"
12,12,737530527582851075,266506817,7,0,0,2,,,"""What a lovely day"" #MadMaxFuryRoad by #TsuyoshiNagano https://t.co/jAhXauCs6b"
13,13,737450380636868608,2441086124,0,0,0,0,,,#MadMaxFuryRoad kinda sucked lol
14,14,737443558215589889,713709084,0,0,0,3,7.048344960429179e+17,retweeted,RT @MeganKGale: 👏🏼👏🏼👏🏼RT @AngelaBishop: Welcome home to our #Oscar winners! #MadMaxFuryRoad #tennews https://t.co/3h8ujiyFOB
15,15,737429568034725888,2816244857,1,0,0,0,,,Got told I look like Imperator Furiosa. #MadMaxFuryRoad #win
16,16,737400092781641733,84452063,0,0,0,0,,,Mad Max: Fury Road 👌🏻 #MadMaxFuryRoad
17,17,737391441291403265,4514027775,0,0,0,0,,,"Jon Snow is the new Kamicrazy Boy - I LIVE, I DIE, I LIVE AGAIN!
#GameofThrones #MadMaxFuryRoad"
18,18,737385666842112001,33999825,1,0,0,1,,,RT @ChrisShipton: Graphic Facilitation and the Giga Horse https://t.co/o5UtC4dVSU #visualthinking #madmaxfuryroad https://t.co/wHS53bgx3j
19,19,737354776195829766,556275714,0,0,0,14,7.040632631564083e+17,retweeted,RT @_PosterArt: MAD MAX: FURY ROAD (2015) #AlternativePosters #PostersCine #movieposters #Oscar #MadMaxFuryRoad https://t.co/Ugzwh9ideT
20,20,737341985078542336,1184091812,0,0,0,0,7.362607845194015e+17,quoted,"@kathbum RT ""Literally Immortan Joe @heymermaid"" #MadMaxFuryRoad https://t.co/e9WDxuOSfR"
21,21,737316670029451264,3069874301,0,0,0,3,7.369447115045642e+17,retweeted,RT @crhemanth: HOLY MOTHER OF JESUS!!!! We have a new champion in mashups - #Kammatipaadam + #MadMaxFuryRoad is EPIC EPIC EPIC! https://t.c…
22,22,737312946209103872,172302343,0,0,0,0,,,This film is sick #MadMaxFuryRoad
23,23,737290267330514944,4112215301,0,0,0,1,7.37287600789033e+17,retweeted,RT @baphometx: Video essay puts #MadMaxFuryRoad's rapid-fire editing to the ultimate test https://t.co/FNTEUzElbG https://t.co/aG4IQSq9j6 v…
24,24,737287600789032960,186933748,0,0,0,1,,,Video essay puts #MadMaxFuryRoad's rapid-fire editing to the ultimate test https://t.co/FNTEUzElbG https://t.co/aG4IQSq9j6 via @indiewire
25,25,737283189497008128,556275714,0,0,0,14,7.210275584148849e+17,retweeted,RT @_PosterArt: MAD MAX: FURY ROAD (2015) #AlternativePosters #PostersCine #movies #movieposters #MadMaxFuryRoad https://t.co/00ECiZQztD
26,26,737280106842972160,556275714,0,0,0,8,7.27766815200428e+17,retweeted,RT @_PosterArt: MAD MAX: FURY ROAD (2016) #AlternativePosters #PostersCine #movies #movieposters #MadMaxFuryRoad https://t.co/xF2RJW73Y5
27,27,737266377434771456,22256184,3,0,1,0,,,Finally watched #madmaxfuryroad last night. Average story but amazing visuals ! And Tom Hardy = Boss https://t.co/Gw26labeqM
28,28,737259678657347584,230122888,1,0,0,0,,,"Finally got to watch #MadMaxFuryRoad nice movie, yeah. But pls.. How can u shoot a movie in Namibian desert with no black cast? 😱"
29,29,737255720496730112,2738875908,0,0,0,3,7.369447115045642e+17,retweeted,RT @crhemanth: HOLY MOTHER OF JESUS!!!! We have a new champion in mashups - #Kammatipaadam + #MadMaxFuryRoad is EPIC EPIC EPIC! https://t.c…
30,30,737245677353349121,582125814,0,0,1,0,,,Amazing #BankHolidayMonday offers in store! #MadMaxFuryRoad only £4.99 on DVD! #LittleMix #GetWeird only £4.99! https://t.co/Drz0YNWUI7
