,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
0,0,0,726549249257824256,3100073925,1,0,0,0,,,🍺The official drinking game for #MadMaxFuryRoad: https://t.co/k0iRAnqYC9 #Oscars #drinkinggame #drinkinggames https://t.co/qga7BYcbK3
1,1,1,726528338865590272,324343585,0,0,0,0,,,"'Where must we go...
We who wander this Wasteland in search of our better selves?' #MadMaxFuryRoad"
2,2,2,726515411836129280,517411953,0,0,0,0,,,but #Deadpool though...best movie i ever saw after #MadMaxFuryRoad...Now patiently awaiting the other @DCComics movies...
3,3,3,726512435914375168,2980228780,0,0,0,0,,,Doof Warrior Vs ... https://t.co/vvctk3zqd7 #ComaTheDoofWarrior #MadMax #MadMaxFuryRoad #ScottPilgrim ... https://t.co/KGnNPgCLzb
4,4,4,726501222220439554,2949555878,0,0,0,0,,,Hanging out with the #AzraMonster watching #MadMaxFuryRoad #BoysDay… https://t.co/8eqwRWHIZT
5,5,5,726497564795764737,4559176103,0,0,0,1,7.26017737256919e+17,retweeted,RT @DiscOfTron: Mad Max Story of The V8 Interceptor. #MadMaxFuryRoad #SciFiHour #carsandcofee #Australia #FridayFeeling  https://t.co/uV1K6…
6,6,6,726484774555029505,255842223,0,0,0,0,,,WHAT A LOVELY DAY para ver #MadMaxFuryRoad en el Autocinema. BOLETOS: https://t.co/emSh898g1l
7,7,7,726481529224962048,31546240,0,0,0,0,,,Finally getting round to watching this tonight! 😎💪🏻 #MadMaxFuryRoad https://t.co/DdlgcQQUuJ
8,8,8,726478327612104704,4354010896,0,0,0,1,7.261598020663009e+17,retweeted,RT @theGLcorps: Rumor: WB wants #MadMaxFuryRoad Director George Miller to helm #GreenLanternCorps via @heroichollywood
9,9,9,726433055271997441,174661718,0,0,0,1,7.264280346858701e+17,retweeted,"RT @BlooD_StaB: .#TOP5 #reviews all time: (4/5) 

#MadMaxFuryRoad by @RafaDeLarge

https://t.co/OFFgGZ3OEl https://t.co/ziMtAAVKEK"
10,10,10,726428034685870080,3449402309,1,0,0,1,,,".#TOP5 #reviews all time: (4/5) 

#MadMaxFuryRoad by @RafaDeLarge

https://t.co/OFFgGZ3OEl https://t.co/ziMtAAVKEK"
11,11,11,726420358140563456,531404377,0,0,0,2,7.222148236233114e+17,retweeted,RT @drinkwhen: 🍻 The official drinking game for #MadMaxFuryRoad: https://t.co/k0iRAnqYC9 #drinkinggame #drinkinggames #OSCARS2016 https://t…
